Material,Model,All_5_Converged,State1_Energy_eV,State1_Oscillator_Strength,State1_Dominant_Transition,State1_NTO_Weight,State1_Hole_Component,State1_Electron_Component,Brightest_State,Brightest_Energy_eV,Brightest_Oscillator_Strength,Brightest_Dominant_Transition,Brightest_NTO_Weight,Brightest_Hole_Component,Brightest_Electron_Component
Cs2_Sn_Br6,M0,True,5.216844,0.000000,HOMO-2 (MO 115) -> LUMO (MO 118),0.932949,"HOMO-2 (MO 115): coefficient = -1.0000, weight = 99.99 %","LUMO (MO 118): coefficient = -0.9992, weight = 99.84 %",4,5.790394,0.146566,HOMO-5 (MO 112) -> LUMO (MO 118),0.929467,"HOMO-5 (MO 112): coefficient = -0.9849, weight = 97.00 %","LUMO (MO 118): coefficient = -0.9996, weight = 99.91 %"
Cs2_Sn_Br6,M1,True,0.329880,0.000295,HOMO-20 (MO 129) -> LUMO+5 (MO 155),0.765887,"HOMO-20 (MO 129): coefficient = -0.5568, weight = 31.01 %","LUMO+2 (MO 152): coefficient = -0.6005, weight = 36.06 %",4,0.531794,0.001451,HOMO-1 (MO 148) -> LUMO+3 (MO 153),0.829478,"HOMO-1 (MO 148): coefficient = 0.6041, weight = 36.49 %","LUMO+3 (MO 153): coefficient = 0.9500, weight = 90.25 %"
Cs2_Sn_I6,M0,True,3.368605,0.000000,HOMO-2 (MO 85) -> LUMO (MO 88),0.943966,"HOMO-2 (MO 85): coefficient = 0.8882, weight = 78.89 %","LUMO (MO 88): coefficient = -0.9994, weight = 99.87 %",1,3.368605,0.000000,HOMO-2 (MO 85) -> LUMO (MO 88),0.943966,"HOMO-2 (MO 85): coefficient = 0.8882, weight = 78.89 %","LUMO (MO 88): coefficient = -0.9994, weight = 99.87 %"
Cs2_Sn_I6,M1,True,0.155191,0.002387,HOMO-12 (MO 107) -> LUMO+5 (MO 125),0.890223,"HOMO-12 (MO 107): coefficient = 0.4555, weight = 20.75 %","LUMO+5 (MO 125): coefficient = -0.9743, weight = 94.92 %",3,0.209239,0.077379,HOMO (MO 119) -> LUMO (MO 120),0.712293,"HOMO (MO 119): coefficient = 0.9164, weight = 83.99 %","LUMO (MO 120): coefficient = 0.8881, weight = 78.88 %"
Cs2_Ti_Br6,M0,True,4.942560,0.000000,HOMO-15 (MO 102) -> LUMO+1 (MO 119),0.956786,"HOMO-15 (MO 102): coefficient = -0.9834, weight = 96.70 %","LUMO+1 (MO 119): coefficient = -0.6532, weight = 42.67 %",1,4.942560,0.000000,HOMO-15 (MO 102) -> LUMO+1 (MO 119),0.956786,"HOMO-15 (MO 102): coefficient = -0.9834, weight = 96.70 %","LUMO+1 (MO 119): coefficient = -0.6532, weight = 42.67 %"
Cs2_Ti_Br6,M1,True,0.203623,0.053920,HOMO (MO 149) -> LUMO (MO 150),0.923470,"HOMO (MO 149): coefficient = -0.9680, weight = 93.70 %","LUMO (MO 150): coefficient = -0.8262, weight = 68.26 %",1,0.203623,0.053920,HOMO (MO 149) -> LUMO (MO 150),0.923470,"HOMO (MO 149): coefficient = -0.9680, weight = 93.70 %","LUMO (MO 150): coefficient = -0.8262, weight = 68.26 %"
Cs2_Ti_I6,M0,True,3.714886,0.000000,HOMO-15 (MO 72) -> LUMO+4 (MO 92),0.991862,"HOMO-15 (MO 72): coefficient = 0.9876, weight = 97.54 %","LUMO+4 (MO 92): coefficient = 0.9946, weight = 98.91 %",1,3.714886,0.000000,HOMO-15 (MO 72) -> LUMO+4 (MO 92),0.991862,"HOMO-15 (MO 72): coefficient = 0.9876, weight = 97.54 %","LUMO+4 (MO 92): coefficient = 0.9946, weight = 98.91 %"
Cs2_Ti_I6,M1,True,0.030523,0.000147,HOMO (MO 119) -> LUMO (MO 120),0.980781,"HOMO (MO 119): coefficient = -0.9360, weight = 87.60 %","LUMO (MO 120): coefficient = -0.9982, weight = 99.65 %",4,0.420172,0.004628,HOMO-3 (MO 116) -> LUMO (MO 120),0.591732,"HOMO-3 (MO 116): coefficient = -0.8090, weight = 65.44 %","LUMO (MO 120): coefficient = -0.9955, weight = 99.10 %"
Cs2_Zr_Br6,M0,True,6.237475,0.000000,HOMO (MO 112) -> LUMO (MO 113),0.328986,"HOMO-2 (MO 110): coefficient = 0.9308, weight = 86.64 %","LUMO+2 (MO 115): coefficient = -0.9003, weight = 81.05 %",1,6.237475,0.000000,HOMO (MO 112) -> LUMO (MO 113),0.328986,"HOMO-2 (MO 110): coefficient = 0.9308, weight = 86.64 %","LUMO+2 (MO 115): coefficient = -0.9003, weight = 81.05 %"
Cs2_Zr_Br6,M1,True,0.091242,0.011504,HOMO (MO 144) -> LUMO (MO 145),0.970283,"HOMO (MO 144): coefficient = -0.8124, weight = 65.99 %","LUMO (MO 145): coefficient = 0.9970, weight = 99.40 %",1,0.091242,0.011504,HOMO (MO 144) -> LUMO (MO 145),0.970283,"HOMO (MO 144): coefficient = -0.8124, weight = 65.99 %","LUMO (MO 145): coefficient = 0.9970, weight = 99.40 %"
Cs2_Zr_I6,M0,True,4.809331,0.000000,HOMO-2 (MO 80) -> LUMO (MO 83),0.330217,"HOMO-2 (MO 80): coefficient = 0.9997, weight = 99.94 %","LUMO (MO 83): coefficient = -0.9998, weight = 99.96 %",1,4.809331,0.000000,HOMO-2 (MO 80) -> LUMO (MO 83),0.330217,"HOMO-2 (MO 80): coefficient = 0.9997, weight = 99.94 %","LUMO (MO 83): coefficient = -0.9998, weight = 99.96 %"
Cs2_Zr_I6,M1,True,0.374627,0.000118,HOMO-22 (MO 92) -> LUMO+3 (MO 118),0.975578,"HOMO-22 (MO 92): coefficient = 0.4047, weight = 16.38 %","LUMO+3 (MO 118): coefficient = 0.9692, weight = 93.93 %",2,0.541928,0.193408,HOMO (MO 114) -> LUMO (MO 115),0.946013,"HOMO (MO 114): coefficient = -0.9987, weight = 99.74 %","LUMO (MO 115): coefficient = 0.9884, weight = 97.69 %"
